BldgID,BuildingSF,StarRating,BuildingClass,SalePrice,PricePerSF,SaleStatus,SecondaryType,LandAreaAC,NumberOfFloors,CeilingHeightDecimals,LocationType,PropertyZipCode,MSA,NearestMajorHighwayInterchange,DistancetoNearestInterchange,GeographicMedicalCostIndexbyZipCode,quarter,year
325,183340,3,C,15550000,84.82,Sold,Warehouse,10.73,1,22,Suburban,8016,37980,19007,2.86,1.1245,2019Q1,2019
326,215100,2,C,10000000,46.49,Sold,Warehouse,11.59,1,40,Urban,8030,37980,19007,18.07,1.1245,2021Q2,2021
327,131500,3,C,11975000,91.06,Sold,Warehouse,7.4,1,20,Urban,8031,37980,19007,20.22,1.1245,2021Q1,2021
328,74000,3,C,11000000,148.65,Sold,Distribution,3.75,1,24,Urban,8031,37980,19007,20.22,1.1245,2020Q4,2020
329,381890,3,B,23100000,60.49,Sold,Distribution,22.34,1,27.5,Urban,8031,37980,19007,20.22,1.1245,2020Q4,2020
330,131500,3,C,8300000,63.12,Sold,Warehouse,7.4,1,20,Urban,8031,37980,19007,20.22,1.1245,2020Q1,2020
331,131000,3,B,9750000,74.43,Sold,Warehouse,7.41,1,24,Urban,8031,37980,19007,20.22,1.1245,2020Q1,2020
332,57600,3,C,123000,2.14,Sold,Distribution,1.26,2,8,Urban,8034,37980,19007,15.8,1.1245,2020Q3,2020
333,75960,3,C,5000000,65.82,Sold,Warehouse,4.07,1,21,Suburban,8036,37980,19007,8.62,1.1245,2021Q1,2021
334,111000,2,C,5500000,49.55,Sold,Distribution,21.47,1,25.5,Suburban,8037,37980,19007,33.68,1.1245,2020Q3,2020
335,111000,2,C,5500000,49.55,Sold,Distribution,21.47,1,25.5,Suburban,8037,37980,19007,33.68,1.1245,2020Q3,2020
336,111000,2,C,5450000,49.1,Sold,Distribution,21.47,1,25.5,Suburban,8037,37980,19007,33.68,1.1245,2019Q4,2019
337,120000,3,B,10700000,89.17,Sold,Distribution,12.71,1,28,Suburban,8048,37980,19007,10.14,1.1245,2019Q3,2019
338,112000,3,B,8350000,74.55,Sold,Warehouse,5.56,1,16.5,Suburban,8054,37980,19007,11.31,1.1245,2020Q3,2020
339,129175,3,C,10500000,81.29,Sold,Warehouse,7.15,1,22,Suburban,8054,37980,19007,11.31,1.1245,2020Q3,2020
340,292466,4,A,32200000,110.1,Sold,Warehouse,43.43,1,32,Suburban,8054,37980,19007,11.31,1.1245,2019Q4,2019
341,129175,3,C,7350000,56.9,Sold,Warehouse,7.15,1,22,Suburban,8054,37980,19007,11.31,1.1245,2019Q3,2019
342,331768,4,A,36150000,108.96,Sold,Distribution,34.14,1,36,Suburban,8056,37980,19007,22.95,1.1245,2021Q1,2021
343,272682,3,B,23250000,85.26,Sold,Warehouse,15.1,1,28.2,Suburban,8057,37980,19007,10.86,1.1245,2021Q2,2021
344,60390,3,C,2250000,37.26,Sold,Warehouse,9.04,1,15,Suburban,8057,37980,19007,10.86,1.1245,2020Q1,2020
345,96840,3,B,5326200,55,Sold,Manufacturing,10.26,1,13,Suburban,8057,37980,19007,10.86,1.1245,2019Q4,2019
346,76196,3,C,5728500,75.18,Sold,Warehouse,6.23,1,20,Suburban,8066,37980,19007,19.75,1.1245,2020Q1,2020
347,50000,3,C,3212500,64.25,Sold,Warehouse,3.31,1,20,Suburban,8066,37980,19007,19.75,1.1245,2019Q3,2019
348,76196,3,C,3750000,49.22,Sold,Warehouse,6.23,1,20,Suburban,8066,37980,19007,19.75,1.1245,2019Q2,2019
349,66490,3,C,5000000,75.2,Sold,Warehouse,6.36,1,24,Suburban,8075,37980,19007,7.58,1.1245,2020Q4,2020
350,71600,3,C,2925000,40.85,Sold,Manufacturing,7.76,1,22,Suburban,8075,37980,19007,7.58,1.1245,2020Q3,2020
351,165000,3,C,2877500,17.44,Sold,Manufacturing,6.24,1,33,Suburban,8079,37980,19007,39.88,1.1245,2020Q3,2020
352,92000,3,C,2600000,28.26,Sold,Warehouse,12.13,2,26,Suburban,8079,37980,19007,39.88,1.1245,2019Q3,2019
353,207500,4,B,11650000,56.14,Sold,Warehouse,12.36,1,28.5,Suburban,8085,37980,19007,25.14,1.1245,2020Q4,2020
354,107570,3,B,10835000,100.73,Sold,Manufacturing,7.92,1,28,Suburban,8085,37980,19007,25.14,1.1245,2020Q4,2020
355,151600,4,B,8200000,54.09,Sold,Distribution,14.09,1,26,Suburban,8085,37980,19007,25.14,1.1245,2019Q4,2019
356,369000,4,A,33800000,91.6,Sold,Warehouse,75.3,1,36,Suburban,8085,37980,19007,25.14,1.1245,2019Q4,2019
357,80720,3,B,3405000,42.18,Sold,Food Processing,6.03,1,30,Suburban,8085,37980,19007,25.14,1.1245,2019Q3,2019
